Aadhaar,Month,Gender,Age,Height,Weight,BodyFat,MidArm,BMI,BMR
1234567100,1-2022,Gender.Male,27,154,49,24,0,21,1323
1234567100,2-2022,Gender.Male,27,154,49,24,0,21,1323
1234567101,1-2022,Gender.Female,27,151,45,29,0,20,1098
1234567101,2-2022,Gender.Female,27,151,47,30,0,21,1118
1234567102,1-2022,Gender.Male,50,160,70,32,0,27,1455
1234567102,2-2022,Gender.Male,50,160,70,30,0,27,1455
1234567103,1-2022,Gender.Female,45,155,59,33,0,25,1173
1234567103,2-2022,Gender.Female,45,155,59,33,0,25,1173
1234567104,1-2022,Gender.Female,20,145,43,21,0,20,1075
1234567104,2-2022,Gender.Female,20,145,43,21,0,20,1075
1234567105,1-2022,Gender.Female,19,140,39,20,0,20,1009
1234567105,2-2022,Gender.Female,19,140,39,20,0,20,1009
1234567106,1-2022,Gender.Female,65,180,78,34,0,24,1419
1234567106,2-2022,Gender.Female,65,180,78,34,0,24,1419
1234567107,1-2022,Gender.Male,20,153,51,29,0,22,1371
1234567107,2-2022,Gender.Male,20,153,51,29,0,22,1371
1234567108,1-2022,Gender.Male,27,163,54,32,0,20,1429
1234567108,2-2022,Gender.Male,27,163,54,32,0,20,1429
1234567109,1-2022,Gender.Male,44,162,49,23,0,19,1288
1234567109,2-2022,Gender.Male,44,162,54,23,0,19,1338
1234567110,1-2022,Gender.Female,36,154,61,30,0,26,1232
1234567110,2-2022,Gender.Female,36,154,61,30,0,26,1232
1234567111,1-2022,Gender.Female,15,110,36,19,0,30,812
1234567111,2-2022,Gender.Female,15,110,36,19,0,30,812
1234567112,1-2022,Gender.Female,13,105,30,20,0,27,730
1234567112,2-2022,Gender.Female,13,105,30,20,0,27,730
1234567113,1-2022,Gender.Female,9,95,20,16,0,22,588
1234567113,2-2022,Gender.Female,9,95,20,16,0,22,588
1234567114,1-2022,Gender.Male,36,158,70,31,0,28,1513
1234567114,2-2022,Gender.Male,36,158,70,31,0,28,1513
1234567115,1-2022,Gender.Female,31,150,60,29,0,27,1222
1234567115,2-2022,Gender.Female,31,150,60,29,0,27,1222
1234567116,1-2022,Gender.Female,80,156,43,22,0,18,844
1234567116,2-2022,Gender.Female,80,156,43,22,0,18,844
1234567117,1-2022,Gender.Male,80,180,80,35,0,25,1530
1234567117,2-2022,Gender.Male,80,180,80,35,0,25,1530
1234567118,1-2022,Gender.Female,83,155,36,19,0,15,753
1234567118,2-2022,Gender.Female,83,155,37,19,0,15,763
1234567119,1-2022,Gender.Female,24,153,55,30,0,23,1225
1234567119,2-2022,Gender.Female,24,153,55,34,0,23,1225
1234567120,1-2022,Gender.Male,25,155,59,37,0,25,1439
1234567120,2-2022,Gender.Male,25,155,59,37,0,25,1439
1234567121,1-2022,Gender.Female,2,18,12,0,14,0,62
1234567121,2-2022,Gender.Female,2,18,13,0,14,0,72
1234567122,1-2022,Gender.Female,20,155,58,30,0,24,1288
1234567122,2-2022,Gender.Female,20,155,60,30,0,25,1308
1234567123,1-2022,Gender.Female,26,155,62,38,0,26,1298
1234567123,2-2022,Gender.Female,26,155,62,38,0,26,1298
1234567124,1-2022,Gender.Male,30,162,68,30,0,26,1548
1234567124,2-2022,Gender.Male,30,162,68,30,0,26,1548
1234567126,1-2022,Gender.Male,4,35,18,0,20,0,384
1234567126,2-2022,Gender.Male,4,35,18,0,20,0,384
1234567127,1-2022,Gender.Male,26,151,49,20,0,21,1309
1234567127,2-2022,Gender.Male,26,151,49,20,0,21,1309
1234567128,1-2022,Gender.Male,29,158,61,29,0,24,1458
1234567128,2-2022,Gender.Male,29,158,61,29,0,24,1458
1234567129,1-2022,Gender.Male,1,0,9,0,0,0,90
1234567129,2-2022,Gender.Male,1,0,9,0,0,0,90
1234567130,1-2022,Gender.Female,25,154,49,22,0,21,1167
1234567130,2-2022,Gender.Female,25,154,49,22,0,21,1167
1234567131,1-2022,Gender.Male,27,160,59,30,0,23,1460
1234567131,2-2022,Gender.Male,27,160,59,30,0,23,1460
1234567132,1-2022,Gender.Female,1,0,8,0,0,0,0
1234567132,2-2022,Gender.Female,1,0,9,0,0,0,0
1234567133,1-2022,Gender.Male,73,165,59,21,0,22,1261
1234567133,2-2022,Gender.Male,73,165,59,21,0,22,1261
1234567134,1-2022,Gender.Female,70,150,47,20,0,21,897
1234567134,2-2022,Gender.Female,70,150,47,20,0,21,897
1234567135,1-2022,Gender.Male,26,145,44,21,0,21,1221
1234567135,2-2022,Gender.Male,26,145,46,23,0,22,1241
1234567136,1-2022,Gender.Female,23,140,39,19,0,20,989
1234567136,2-2022,Gender.Female,23,140,39,19,0,20,989
1234567137,1-2022,Gender.Male,24,158,57,29,0,23,1443
1234567137,2-2022,Gender.Male,24,158,57,29,0,23,1443
1234567138,1-2022,Gender.Female,21,149,45,21,0,20,1115
1234567138,2-2022,Gender.Female,21,149,45,21,0,20,1115
1234567139,1-2022,Gender.Male,50,159,70,30,0,28,1449
1234567139,2-2022,Gender.Male,50,159,70,30,0,28,1449
1234567140,1-2022,Gender.Male,21,147,41,19,0,19,1229
1234567140,2-2022,Gender.Male,21,147,41,19,0,19,1229
1234567141,1-2022,Gender.Male,32,153,60,29,0,26,1401
1234567141,2-2022,Gender.Male,32,153,60,29,0,26,1401
1234567142,1-2022,Gender.Female,30,149,45,18,0,20,1070
