Aadhaar,Month,Haemoglobin
1234567100,1-2022,11.1
1234567100,2-2022,11.2
1234567101,1-2022,9.0
1234567101,2-2022,9.0
1234567102,1-2022,9.5
1234567102,2-2022,9.5
1234567103,1-2022,10.3
1234567103,2-2022,10.0
1234567104,1-2022,9.0
1234567104,2-2022,9.0
1234567105,1-2022,8.0
1234567105,2-2022,8.0
1234567106,1-2022,8.0
1234567106,2-2022,8.0
1234567107,1-2022,11.0
1234567107,2-2022,11.0
1234567108,1-2022,12.0
1234567108,2-2022,12.0
1234567109,1-2022,12.5
1234567109,2-2022,12.5
1234567110,1-2022,9.0
1234567110,2-2022,9.0
1234567111,1-2022,8.0
1234567111,2-2022,8.0
1234567112,1-2022,7.0
1234567112,2-2022,7.0
1234567113,1-2022,6.0
1234567113,2-2022,6.0
1234567114,1-2022,7.0
1234567114,2-2022,7.0
1234567115,1-2022,9.0
1234567115,2-2022,9.0
1234567116,1-2022,10.0
1234567116,2-2022,10.0
1234567117,1-2022,6.0
1234567117,2-2022,6.0
1234567118,1-2022,11.0
1234567118,2-2022,11.0
1234567119,1-2022,8.0
1234567119,2-2022,8.0
1234567120,1-2022,12.0
1234567120,2-2022,12.0
1234567121,1-2022,13.0
1234567121,2-2022,13.0
1234567122,1-2022,0.0
1234567122,2-2022,0.0
1234567123,1-2022,11.0
1234567123,2-2022,11.0
1234567124,1-2022,12.0
1234567124,2-2022,12.0
1234567126,1-2022,0.0
1234567126,2-2022,0.0
1234567127,1-2022,10.0
1234567127,2-2022,10.0
1234567128,1-2022,8.0
1234567128,2-2022,8.0
1234567129,1-2022,0.0
1234567129,2-2022,0.0
1234567130,1-2022,10.0
1234567130,2-2022,10.0
1234567131,1-2022,8.0
1234567131,2-2022,8.0
1234567132,1-2022,0.0
1234567132,2-2022,0.0
1234567133,1-2022,9.0
1234567133,2-2022,9.5
1234567134,1-2022,8.0
1234567134,2-2022,8.0
1234567135,1-2022,10.9
1234567135,2-2022,10.9
1234567136,1-2022,8.0
1234567136,2-2022,8.0
1234567137,1-2022,10.0
1234567137,2-2022,10.0
1234567138,1-2022,9.0
1234567138,2-2022,9.0
1234567139,1-2022,11.0
1234567139,2-2022,11.0
1234567140,1-2022,11.5
1234567140,2-2022,11.5
1234567141,1-2022,12.0
1234567141,2-2022,12.0
1234567142,1-2022,8.0
1234567142,2-2022,8.0
1234567143,1-2022,0.0
1234567143,2-2022,0.0
1234567144,1-2022,0.0
1234567144,2-2022,0.0
1234567145,1-2022,11.0
1234567145,2-2022,11.0
1234567146,1-2022,10.0
1234567146,2-2022,10.0
1234567147,1-2022,8.0
1234567147,2-2022,8.0
1234567148,1-2022,11.0
1234567148,2-2022,11.0
1234567149,1-2022,10.0
1234567149,2-2022,10.0
1234567150,1-2022,6.0
1234567150,2-2022,6.0
1234567151,1-2022,0.0
1234567151,2-2022,0.0
1234567152,1-2022,11.0
1234567152,2-2022,11.0
1234567153,1-2022,10.0
1234567153,2-2022,10.0
1234567154,1-2022,0.0
1234567154,2-2022,0.0
1234567155,1-2022,10.0
1234567155,2-2022,10.0
1234567156,1-2022,8.0
1234567156,2-2022,8.0
1234567157,1-2022,0.0
1234567157,2-2022,0.0
1234567158,1-2022,7.0
1234567158,2-2022,7.0
1234567159,1-2022,11.0
1234567159,2-2022,11.0
1234567160,1-2022,9.0
1234567160,2-2022,9.0
1234567161,1-2022,0.0
1234567161,2-2022,0.0
1234567162,1-2022,0.0
1234567162,2-2022,0.0
1234567163,1-2022,12.0
1234567163,2-2022,12.0
1234567164,1-2022,10.0
1234567164,2-2022,10.0
1234567165,1-2022,0.0
1234567165,2-2022,0.0
1234567166,1-2022,9.0
1234567166,2-2022,9.0
1234567167,1-2022,10.0
1234567167,2-2022,10.0
1234567168,1-2022,0.0
1234567168,2-2022,0.0
1234567169,1-2022,11.0
1234567169,2-2022,11.0
1234567170,1-2022,8.0
1234567170,2-2022,8.0
1234567171,1-2022,6.0
1234567171,2-2022,6.0
1234567172,1-2022,5.0
1234567172,2-2022,5.0
1234567173,1-2022,11.0
1234567173,2-2022,11.0
1234567174,1-2022,12.0
1234567174,2-2022,12.0
1234567175,1-2022,12.0
1234567175,2-2022,12.0
1234567176,1-2022,9.0
1234567176,2-2022,9.0
1234567177,1-2022,7.0
1234567177,2-2022,7.0
1234567178,1-2022,0.0
1234567178,2-2022,0.0
1234567179,1-2022,10.0
1234567179,2-2022,10.0
1234567180,1-2022,8.0
1234567180,2-2022,8.0
1234567181,1-2022,8.0
1234567181,2-2022,11.0
1234567182,1-2022,8.0
1234567182,2-2022,8.0
1234567183,1-2022,10.0
1234567183,2-2022,10.0
1234567184,1-2022,8.0
1234567184,2-2022,8.0
1234567185,1-2022,0.0
1234567185,2-2022,0.0
1234567186,1-2022,7.0
1234567186,2-2022,7.0
1234567187,1-2022,10.0
1234567187,2-2022,10.0
1234567188,1-2022,9.0
1234567188,2-2022,9.0
1234567189,1-2022,7.0
1234567189,2-2022,7.0
1234567190,1-2022,11.0
1234567190,2-2022,11.0
1234567191,1-2022,10.0
1234567191,2-2022,10.0
1234567192,1-2022,13.0
1234567192,2-2022,13.0
1234567193,1-2022,11.0
1234567193,2-2022,11.0
1234567194,1-2022,11.0
1234567194,2-2022,11.0
1234567195,1-2022,13.0
1234567195,2-2022,13.0
1234567196,1-2022,10.0
1234567196,2-2022,10.0
1234567197,1-2022,11.0
1234567197,2-2022,11.0
1234567198,1-2022,0.0
1234567198,2-2022,0.0
1234567199,1-2022,0.0
1234567199,2-2022,0.0
1234567200,1-2022,8.0
1234567200,2-2022,8.0
1234567201,1-2022,10.0
1234567201,2-2022,10.0
1234567202,1-2022,9.0
1234567202,2-2022,9.0
1234567203,1-2022,8.0
1234567203,2-2022,8.0
1234567204,1-2022,13.0
